symbol,tf,date,target,entry_price,exit_price,high_5,low_5,pnl_pct,pattern_found,pattern_name,pattern_en,pattern_weight,pattern_direction,rsi,atr_pct,atr_percentile,volume_ratio,volume_trend,candle_efficiency,momentum_4,momentum_12,compression,btc_regime,btc_rmult,session_score,hour,dow,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend
0GUSDT,15m,2026-02-27 06:00:00,0,0.6703,0.6591,0.6715,0.6586,-1.67,1,Перевёрнутая голова и плечи,inv_head_shoulders,0.85,bull,51.1,0.88,0.74,2.32,0.5,0.61,-1.32,-0.1,-138.3,trend_up,1.3,1.0,6,4,1.0,0.0,-0.4339,-0.901,0
0GUSDT,15m,2026-02-27 09:45:00,0,0.6612,0.6594,0.6621,0.6523,-0.27,0,none,none,0.0,none,35.8,0.61,0.17,1.13,0.5,0.5,-0.51,-0.09,-15.2,chop,0.8,0.1,9,4,0.7071,-0.7071,-0.4339,-0.901,0
0GUSDT,15m,2026-02-27 13:30:00,0,0.6377,0.6374,0.6428,0.6358,-0.05,0,none,none,0.0,none,32.3,0.86,0.57,1.81,0.5,0.38,-0.42,-3.57,-106.5,volatile,0.9,0.6,13,4,-0.2588,-0.9659,-0.4339,-0.901,0
0GUSDT,15m,2026-02-27 17:15:00,1,0.6276,0.6299,0.6325,0.6247,0.37,0,none,none,0.0,none,26.2,0.63,0.08,0.87,0.5,0.61,-1.69,-1.71,20.8,volatile,0.9,0.1,17,4,-0.9659,-0.2588,-0.4339,-0.901,0
0GUSDT,15m,2026-02-27 21:00:00,1,0.6218,0.6261,0.6306,0.6212,0.69,1,Двойная вершина,double_top,0.75,bear,29.0,0.49,0.02,1.27,0.5,0.31,-0.02,-1.22,19.0,normal,1.0,0.6,21,4,-0.7071,0.7071,-0.4339,-0.901,0
0GUSDT,15m,2026-02-28 00:45:00,0,0.6307,0.6262,0.6311,0.6224,-0.71,0,none,none,0.0,none,62.1,0.74,0.75,0.5,0.1,0.56,-0.66,0.75,-37.0,chop,0.8,0.6,0,5,0.0,1.0,-0.9749,-0.2225,1
0GUSDT,15m,2026-02-28 04:30:00,0,0.6183,0.6182,0.6203,0.6161,-0.02,1,Двойная вершина,double_top,0.75,bear,28.0,0.56,0.25,1.37,0.5,0.51,-1.31,-0.79,-81.8,normal,1.0,1.0,4,5,0.866,0.5,-0.9749,-0.2225,1
0GUSDT,15m,2026-02-28 08:15:00,0,0.601,0.5886,0.6029,0.5885,-2.06,1,Двойная вершина,double_top,0.75,bear,42.3,2.2,1.0,0.79,0.5,0.49,-0.97,-2.86,-357.1,trend_up,1.3,1.0,8,5,0.866,-0.5,-0.9749,-0.2225,1
0GUSDT,15m,2026-02-28 12:00:00,1,0.5935,0.5942,0.5959,0.5904,0.12,1,Голова и плечи,head_shoulders,0.85,bear,41.7,0.72,0.47,0.38,0.5,0.54,-0.02,-0.54,83.5,chop,0.8,0.6,12,5,0.0,-1.0,-0.9749,-0.2225,1
0GUSDT,15m,2026-02-28 15:45:00,1,0.6134,0.6167,0.6194,0.6103,0.54,1,Двойное дно,double_bottom,0.75,bull,73.2,0.95,0.67,0.34,0.1,0.48,0.69,3.49,3.1,volatile,0.9,0.1,15,5,-0.7071,-0.7071,-0.9749,-0.2225,1
0GUSDT,15m,2026-02-28 19:30:00,1,0.6346,0.6394,0.6412,0.6309,0.76,1,Двойное дно,double_bottom,0.75,bull,77.7,0.81,0.43,1.0,0.1,0.6,0.87,2.89,-8.6,chop,0.8,0.1,19,5,-0.9659,0.2588,-0.9749,-0.2225,1
0GUSDT,15m,2026-02-28 23:15:00,0,0.6508,0.642,0.655,0.641,-1.35,0,none,none,0.0,none,71.2,0.83,0.6,0.79,0.1,0.5,0.32,1.97,51.2,chop,0.8,1.0,23,5,-0.2588,0.9659,-0.9749,-0.2225,1
0GUSDT,15m,2026-03-01 03:00:00,0,0.6567,0.6466,0.6565,0.6414,-1.54,0,none,none,0.0,none,54.3,0.99,0.98,1.09,0.5,0.22,-0.77,1.78,1.8,chop,0.8,1.0,3,6,0.7071,0.7071,-0.7818,0.6235,1
0GUSDT,15m,2026-03-01 06:45:00,1,0.646,0.6554,0.6557,0.6459,1.46,0,none,none,0.0,none,35.8,0.55,0.02,0.91,0.1,0.43,-0.48,-0.92,21.7,volatile,0.9,1.0,6,6,1.0,0.0,-0.7818,0.6235,1
0GUSDT,15m,2026-03-01 10:30:00,1,0.645,0.6452,0.6468,0.6438,0.03,1,Нисходящий треугольник,desc_triangle,1.03,bear,42.5,0.66,0.27,0.77,0.5,0.29,-0.32,-0.66,-169.2,volatile,0.9,0.6,10,6,0.5,-0.866,-0.7818,0.6235,1
0GUSDT,15m,2026-03-01 14:15:00,0,0.6408,0.6389,0.6431,0.6365,-0.3,1,Голова и плечи,head_shoulders,0.85,bear,43.6,0.7,0.58,0.89,0.5,0.41,0.98,-0.76,-42.6,normal,1.0,1.0,14,6,-0.5,-0.866,-0.7818,0.6235,1
0GUSDT,15m,2026-03-01 18:00:00,0,0.629,0.6218,0.6307,0.6209,-1.14,1,Двойная вершина,double_top,0.75,bear,35.7,0.74,0.67,1.17,0.5,0.46,0.46,-1.66,-62.1,trend_down,1.3,1.0,18,6,-1.0,-0.0,-0.7818,0.6235,1
0GUSDT,15m,2026-03-01 21:45:00,1,0.6164,0.6205,0.6283,0.6144,0.67,1,Голова и плечи,head_shoulders,0.85,bear,25.4,0.6,0.25,0.39,0.1,0.41,0.85,-1.67,54.8,trend_down,1.3,0.6,21,6,-0.7071,0.7071,-0.7818,0.6235,1
0GUSDT,15m,2026-03-02 01:30:00,0,0.6215,0.6157,0.6224,0.6135,-0.93,1,Нисходящий треугольник,desc_triangle,0.96,bear,47.5,0.84,0.88,0.45,0.1,0.54,-0.4,0.26,7.1,volatile,0.9,0.1,1,0,0.2588,0.9659,0.0,1.0,0
0GUSDT,15m,2026-03-02 05:15:00,0,0.6187,0.6149,0.6228,0.6109,-0.61,1,Нисходящий треугольник,desc_triangle,1.04,bear,46.2,0.52,0.02,0.9,0.5,0.53,-0.02,0.7,67.3,chop,0.8,0.6,5,0,0.9659,0.2588,0.0,1.0,0
0GUSDT,15m,2026-03-02 09:00:00,0,0.6138,0.6136,0.6158,0.6105,-0.03,1,Голова и плечи,head_shoulders,0.85,bear,38.9,0.75,0.65,1.2,0.1,0.43,0.26,-0.98,-141.7,chop,0.8,0.1,9,0,0.7071,-0.7071,0.0,1.0,0
0GUSDT,15m,2026-03-02 12:45:00,0,0.6089,0.6066,0.6105,0.6038,-0.38,1,Голова и плечи,head_shoulders,0.85,bear,33.9,0.41,0.02,0.75,0.5,0.26,-0.44,-0.47,61.1,normal,1.0,0.6,12,0,0.0,-1.0,0.0,1.0,0
0GUSDT,15m,2026-03-02 16:30:00,0,0.6319,0.6303,0.6335,0.6233,-0.25,1,Двойное дно,double_bottom,0.75,bull,76.5,0.93,1.0,1.51,0.5,0.57,0.1,4.33,-203.8,trend_up,1.3,1.0,16,0,-0.866,-0.5,0.0,1.0,0
0GUSDT,15m,2026-03-02 20:15:00,1,0.6274,0.6306,0.6347,0.6264,0.51,1,Двойное дно,double_bottom,0.75,bull,49.6,0.7,0.58,0.36,0.1,0.34,-0.82,-0.02,62.3,trend_up,1.3,0.1,20,0,-0.866,0.5,0.0,1.0,0
